x,y,derivative
1.5,0.32383920857859,-0.46279380267106
1.6,0.30075290674306,-0.45991154506236
1.6,0.27791874619393,-0.45278854776620
1.7,0.25553653233427,-0.44191713680614
1.7,0.23378108832268,-0.42780243234106
1.8,0.21280188495896,-0.41095171014999
1.8,0.19272317925645,-0.39186472046329
1.9,0.17364461003038,-0.37102510899001
1.9,0.15564219268130,-0.34889304134880
2.0,0.13876965136340,-0.32589908960115
2.0,0.12306002480578,-0.30243939265604
2.1,0.10852748205395,-0.27887212075306
2.1,0.09516928612079,-0.25551504941095
2.2,0.08296784674933,-0.23264440609065
2.2,0.07189280793774,-0.21049464929826
2.2,0.06190312129122,-0.18925920843342
2.3,0.05294906237610,-0.16909200883645
2.3,0.04497415379595,-0.15010965533628
2.4,0.03791696544343,-0.13239413928164
2.4,0.03171276908050,-0.11599593674767
2.5,0.02629503087095,-0.10093737192941
2.5,0.02159673156856,-0.08721612896207
2.6,0.01755150962272,-0.07480880691156
2.6,0.01409462740429,-0.06367442576142
2.7,0.01116376501491,-0.05375780526767
2.7,0.00869964968906,-0.04499275297321
2.8,0.00664653162548,-0.03730501194817
2.8,0.00495251921036,-0.03061493251724
2.9,0.00356978805837,-0.02483984498775
2.9,0.00245467915311,-0.01989612193145
3.0,0.00156770168101,-0.01570092870579
3.0,0.00087345599708,-0.01217366951515
3.1,0.00034049161265,-0.00923714336270
3.1,-0.00005888576583,-0.00681842974863
3.2,-0.00034884521760,-0.00484952799760
3.2,-0.00055028794468,-0.00326777675667
3.3,-0.00068112066920,-0.00201608163429
3.3,-0.00075653620700,-0.00104297930832
3.4,-0.00078929373927,-0.00030256588839
3.4,-0.00078999266456,0.00024568395468
3.5,-0.00076733519498,0.00063717411264
3.5,-0.00072837403995,0.00090254949992
3.6,-0.00067874258175,0.00106801049697
3.6,-0.00062286587891,0.00115574641608
3.7,-0.00056415163381,0.00118432986209
3.7,-0.00050516092953,0.00116911946906
3.8,-0.00044775908460,0.00112265103680
3.8,-0.00039324739948,0.00105500966113
3.9,-0.00034247688769,0.00097417747763
3.9,-0.00029594530788,0.00088635341692
4.0,-0.00025387895388,0.00079624289327
4.0,-0.00021630073117,0.00070731661953
4.1,-0.00018308606170,0.00062203876996
4.1,-0.00015400812681,0.00054206551718
4.2,-0.00012877389119,0.00046841556923
4.2,-0.00010705225791,0.00040161475350
4.3,-0.00008849559537,0.00034181695986
4.3,-0.00007275575718,0.00028890389169
4.4,-0.00005949559265,0.00024256610420
4.4,-0.00004839682240,0.00020236775768
4.5,-0.00003916503487,0.00016779739924
4.5,-0.00003153244790,0.00013830692785
4.6,-0.00002525897595,0.00011334071075
4.6,-0.00002013205059,0.00009235661593
4.7,-0.00001596555857,0.00007484051733
4.7,-0.00001259818929,0.00006031562366
4.8,-0.00000989142077,0.00004834778551
4.8,-0.00000772732019,0.00003854775214
4.9,-0.00000600629082,0.00003057118234
4.9,-0.00000464486057,0.00002411706459
5.0,-0.00000357357819,0.00001892507062
5.0,-0.00000273505960,0.00001477225349
5.1,-0.00000208220904,0.00001146940508
5.1,-0.00000157662578,0.00000885730839
5.2,-0.00000118719721,0.00000680305370
5.2,-0.00000088887198,0.00000519653542
5.3,-0.00000066160215,0.00000394720418
5.3,-0.00000048944046,0.00000298111696
5.4,-0.00000035977718,0.00000223830333
5.4,-0.00000026270066,0.00000167044854
5.5,-0.00000019046615,0.00000123888179
5.5,-0.00000013705785,0.00000091284961
5.6,-0.00000009783075,0.00000066804986
5.6,-0.00000006921978,0.00000048539915
5.7,-0.00000004850537,0.00000035000597
5.7,-0.00000003362572,0.00000025032272
5.8,-0.00000002302757,0.00000017745115
5.8,-0.00000001554833,0.00000012457803
5.9,-0.00000001032364,0.00000008652013
5.9,-0.00000000671530,0.00000005936001
6.0,-0.00000000425549,0.00000004015671
6.0,-0.00000000260391,0.00000002671751
6.1,-0.00000000151499,0.00000001741919
6.1,-0.00000000081306,0.00000001106898
6.2,-0.00000000037360,0.00000000679721
6.2,-0.00000000010928,0.00000000397498
6.3,0.00000000004047,0.00000000215149
6.3,0.00000000011712,0.00000000100661
6.4,0.00000000014865,0.00000000031539
6.4,0.00000000015359,-0.00000000007847
6.5,0.00000000014395,-0.00000000028217
