x,y,derivative
1.5,0.51633472961164,-0.23096337537998
1.6,0.50502475832147,-0.22153588146667
1.6,0.49417155034030,-0.21268407796093
1.7,0.48374758326679,-0.20435850024952
1.7,0.47372766258093,-0.19651534985288
1.8,0.46408865920012,-0.18911568509028
1.8,0.45480928397983,-0.18212474777207
1.9,0.44586989303178,-0.17551139999683
1.9,0.43725231888448,-0.16924765063570
2.0,0.42893972342332,-0.16330825526156
2.0,0.42091646927351,-0.15767037656544
2.1,0.41316800687169,-0.15231329484638
2.1,0.40568077494108,-0.14721816011337
2.2,0.39844211246587,-0.14236777898691
2.2,0.39144018057026,-0.13774643076919
2.2,0.38466389296146,-0.13333970812046
2.3,0.37810285380481,-0.12913437852702
2.3,0.37174730207148,-0.12511826345318
2.4,0.36558806154273,-0.12128013253482
2.4,0.35961649577343,-0.11760961067808
2.5,0.35382446741780,-0.11409710599869
2.5,0.34820430140366,-0.11073369775980
2.6,0.34274875151223,-0.10751113274354
2.6,0.33745096998008,-0.10442172738248
2.7,0.33230447979028,-0.10145832739031
2.7,0.32730314936312,-0.09861426241534
2.8,0.32244116939316,-0.09588330542590
2.8,0.31771303161109,-0.09325963624487
2.9,0.31311350927569,-0.09073780873231
2.9,0.30863763922459,-0.08831272118537
3.0,0.30428070533240,-0.08597958958237
3.0,0.30003822324255,-0.08373392334637
3.1,0.29590592625370,-0.08157150334809
3.1,0.29187975225533,-0.07948836190194
3.2,0.28795583161817,-0.07748076454206
3.2,0.28413047595534,-0.07554519338862
3.3,0.28040016767877,-0.07367833194233
3.3,0.27676155028344,-0.07187705115899
3.4,0.27321141929840,-0.07013839667888
3.4,0.26974671384999,-0.06845957709573
3.5,0.26636450878762,-0.06683795316584
3.5,0.26306200732785,-0.06527102786902
3.6,0.25983653417414,-0.06375643723991
3.6,0.25668552908065,-0.06229194190138
3.7,0.25360654081963,-0.06087541923569
3.7,0.25059722152738,-0.05950485613665
3.8,0.24765532139864,-0.05817834229246
3.8,0.24477868370468,-0.05689406395423
3.9,0.24196524011156,-0.05565029814762
3.9,0.23921300627760,-0.05444540729199
4.0,0.23652007771033,-0.05327783419344
4.0,0.23388462586515,-0.05214609738066
4.1,0.23130489446915,-0.05104878675682
4.1,0.22877919605496,-0.04998455954307
4.2,0.22630590869068,-0.04895213649002
4.2,0.22388347289285,-0.04795029833714
4.3,0.22151038871078,-0.04697788250174
4.3,0.21918521297091,-0.04603377997937
4.4,0.21690655667133,-0.04511693244101
4.4,0.21467308251673,-0.04422632951218
4.5,0.21248350258515,-0.04336100622089
4.5,0.21033657611837,-0.04252004060271
4.6,0.20823110742834,-0.04170255145107
4.6,0.20616594391271,-0.04090769620409
4.7,0.20413997417272,-0.04013466895687
4.7,0.20215212622765,-0.03938269859215
4.8,0.20020136581980,-0.03865104701989
4.8,0.19828669480504,-0.03793900752022
4.9,0.19640714962371,-0.03724590318097
4.9,0.19456179984739,-0.03657108542540
5.0,0.19274974679726,-0.03591393262280
5.0,0.19097012222981,-0.03527384877763
5.1,0.18922208708637,-0.03465026229162
5.1,0.18750483030275,-0.03404262479451
5.2,0.18581756767574,-0.03345041003877
5.2,0.18415954078327,-0.03287311285502
5.3,0.18253001595554,-0.03231024816344
5.3,0.18092828329406,-0.03176135003857
5.4,0.17935365573631,-0.03122597082388
5.4,0.17780546816343,-0.03070368029319
5.5,0.17628307654874,-0.03019406485598
5.5,0.17478585714500,-0.02969672680442
5.6,0.17331320570821,-0.02921128359909
5.6,0.17186453675632,-0.02873736719178
5.7,0.17043928286089,-0.02827462338240
5.7,0.16903689397005,-0.02782271120905
5.8,0.16765683676119,-0.02738130236818
5.8,0.16629859402196,-0.02695008066454
5.9,0.16496166405799,-0.02652874148783
5.9,0.16364556012626,-0.02611699131530
6.0,0.16234980989254,-0.02571454723924
6.0,0.16107395491207,-0.02532113651663
6.1,0.15981755013207,-0.02493649614163
6.1,0.15858016341513,-0.02456037243775
6.2,0.15736137508259,-0.02419252067015
6.2,0.15616077747670,-0.02383270467589
6.3,0.15497797454093,-0.02348059249048
6.3,0.15381258141742,-0.02313617628304
6.4,0.15266422406082,-0.02279913516286
6.4,0.15153253886775,-0.02246926390514
6.5,0.15041717232117,-0.02214636425296
