x,y,derivative
1.5,0.96638720296928,0.20543653308835
1.6,0.97490605193754,0.13564746975281
1.6,0.97998502559926,0.06784295360440
1.7,0.98172356622979,0.00203158131706
1.7,0.98022154593962,-0.06177805041918
1.8,0.97557926667434,-0.12357734489377
1.8,0.96789746021468,-0.18335770540889
1.9,0.95727728817649,-0.24111053524511
1.9,0.94382034201075,-0.29682723771518
2.0,0.92762864300355,-0.35049921610630
2.0,0.90880464227613,-0.40211787372679
2.1,0.88745122078483,-0.45167461386775
2.1,0.86367168932112,-0.49916083982748
2.2,0.83756978851160,-0.54456795490487
2.2,0.80924968881800,-0.58788736239435
2.2,0.77881599053715,-0.62911046559977
2.3,0.74637372380104,-0.66822866781335
2.3,0.71202834857675,-0.70523337233064
2.4,0.67588575466651,-0.74011598245605
2.4,0.63805226170766,-0.77286790148123
2.5,0.59863461917266,-0.80348053270562
2.5,0.55774000636912,-0.83194527942865
2.6,0.51547603243975,-0.85825354494418
2.6,0.47195073636239,-0.88239673255136
2.7,0.42727258695000,-0.90436624554935
2.7,0.38155048285068,-0.92415348723368
2.8,0.33489375254765,-0.94174986090323
2.8,0.28741215435924,-0.95714676985409
2.9,0.23921587643891,-0.97033561738472
2.9,0.19041553677526,-0.98130780679204
3.0,0.14112218319199,-0.99005474137381
3.0,0.09144729334795,-0.99656782442781
3.1,0.04150277473710,-1.00083845925095
3.1,-0.00859903531148,-1.00285804914194
3.2,-0.05874536963358,-1.00261799739834
3.2,-0.10882303122987,-1.00010970731243
3.3,-0.15871839326587,-0.99532458219365
3.3,-0.20831739907202,-0.98825402532199
3.4,-0.25750556214360,-0.97888944001895
3.4,-0.30616796614078,-0.96722222955203
3.5,-0.35418926488860,-0.95324379723427
3.5,-0.40145368237698,-0.93694554638174
3.6,-0.44784501276072,-0.91831888026334
3.6,-0.49324662035948,-0.89735520217016
3.7,-0.53754143965781,-0.87404591545104
3.7,-0.58061197530513,-0.84838242335294
3.8,-0.62234030211575,-0.82035612917974
3.8,-0.66260806506882,-0.78995843626306
3.9,-0.70129647930840,-0.75718074783682
3.9,-0.73828633014341,-0.72201446725817
4.0,-0.77345797304765,-0.68445099783099
4.0,-0.80669133365981,-0.64448174277754
4.1,-0.83786590778340,-0.60209810549661
4.1,-0.86686076138689,-0.55729148920214
4.2,-0.89355453060355,-0.51005329719633
4.2,-0.91782542173158,-0.46037493285689
4.3,-0.93955121123401,-0.40824779939885
4.3,-0.95860924573879,-0.35366330017050
4.4,-0.97487644203870,-0.29661283839744
4.4,-0.98822928709144,-0.23708781743570
4.5,-0.99854383801955,-0.17507964062635
4.5,-1.00569572211048,-0.11057971119000
4.6,-1.00956013681651,-0.04357943243605
4.6,-1.01001184975484,0.02592979231997
4.7,-1.00692519870752,0.09795655977918
4.7,-1.00017409162148,0.17250946666048
4.8,-0.98963200660854,0.24959710965056
4.8,-0.97517199194537,0.32922808546609
4.9,-0.95666666607354,0.41141099077824
4.9,-0.93398821759948,0.49615442236695
5.0,-0.90700840529450,0.58346697681899
5.0,-0.87559855809478,0.67335725091211
5.1,-0.83962957510140,0.76583384134077
5.1,-0.79897192558029,0.86090534480610
5.2,-0.75349564896223,0.95858035811913
5.2,-0.70307035484296,1.05886747755024
5.3,-0.64756522298302,1.16177530040451
5.3,-0.58684900330788,1.26731242310996
5.4,-0.52079001590777,1.37548744226557
5.4,-0.44925615103795,1.48630895469681
5.5,-0.37211486911851,1.59978555716034
5.5,-0.28923320073435,1.71592584603086
5.6,-0.20047774663522,1.83473841850468
5.6,-0.10571467773597,1.95623187095872
5.7,-0.00480973511602,2.08041480036947
5.7,0.10237176997998,2.20729580290957
5.8,0.21596495614301,2.33688347510696
5.8,0.33610537179874,2.46918641514160
5.9,0.46292899520794,2.60421321862658
5.9,0.59657223446680,2.74197248157915
6.0,0.73717192750653,2.88247280248566
6.0,0.88486534209330,3.02572277623536
6.1,1.03979017582885,3.17173100084389
6.1,1.20208455614941,3.32050607251944
6.2,1.37188704032667,3.47205658825622
6.2,1.54933661546776,3.62639114369401
6.3,1.73457269851425,3.78351833755452
6.3,1.92773513624332,3.94344676518443
6.4,2.12896420526701,4.10618502276527
6.4,2.33840061203276,4.27174170702038
6.5,2.55618549282295,4.44012541530370
